Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,63.72,0,0,86.98,101.6257,2.843831,0,0,0,0,0,0,86,86,0,0
0.010,S,0.010,0.010,0,0.4550113,0,333.6115,63.72,0,0,86.96381,101.6257,2.846976,136.372556089445,135.865377465733,11.7504578831056,11.9311153444641,1.358654,0.1175046,86,86,0.00679327,0.000587523
0.02,S,0.02,0.01033411,0,0.4573103,0,655.5553,63.70924,0.009364136,0,86.94761,101.6257,2.850121,298.972084772249,298.078842640293,23.0935281689163,12.8399550658555,4.339442,0.3484399,86,86,0.03528375,0.002917245
0.03,S,0.03,0.0111213,0,0.4618484,0,591.8605,63.67695,0.01095269,0,86.93142,101.6257,2.853265,266.957138539962,266.140875359591,20.8602080592415,14.1467592721591,7.000851,0.557042,86,86,0.09198521,0.007444655
0.04,S,0.04,0.01225319,0,0.4666366,0,485.3169,63.63474,0.01343341,0,86.91522,101.6257,2.85641,213.287703817363,212.599808370312,17.1162519433905,15.4484875547023,9.126849,0.7282045,86,86,0.1726237,0.01387089
0.05,S,0.05,0.01338068,0,0.469883,0,442.8899,63.59951,0.01613073,0,86.89902,101.6257,2.859555,191.960408461399,191.323156387999,15.628443505371,16.767829541512,11.04008,0.8844889,86,86,0.2734584,0.02193435
0.05999999,S,0.05999999,0.01452343,0,0.4720402,0,427.3635,63.56991,0.01909079,0,86.88283,101.6257,2.8627,184.205584034954,183.586671270468,15.0874557658872,18.1355397435443,12.87595,1.035363,86,86,0.3930385,0.03153361
0.06999999,S,0.06999999,0.01570808,0,0.4733886,0,408.9287,63.54158,0.02239589,0,86.86663,101.6257,2.865845,174.966702588956,174.369574991969,14.4429336345601,19.5077382566196,14.61965,1.179792,86,86,0.5305165,0.04260939
0.07999999,S,0.07999999,0.01689661,0,0.4740665,0,411.1371,63.51447,0.02595021,0,86.85043,101.6257,2.868989,176.171810027571,175.571845093308,14.5270044717451,20.9462188891681,16.37537,1.325062,86,86,0.6854916,0.05513366
0.08999999,S,0.08999999,0.01814256,0,0.4742368,0,413.3455,63.48784,0.02992902,0,86.83424,101.6257,2.872134,177.376232881329,176.773430872852,14.6110276371111,22.4410666146468,18.1431,1.471172,86,86,0.858084,0.06911483
0.09999999,S,0.09999999,0.01943733,0,0.4739774,0,415.5539,63.46106,0.03433429,0,86.81805,101.6257,2.875279,178.581924517365,177.976281146311,14.695139116561,23.9844315080551,19.92286,1.618123,86,86,1.048414,0.0845613
0.11,S,0.11,0.02077413,0,0.4733635,0,417.7624,63.43413,0.03916831,0,86.80185,101.6257,2.878424,179.78895269378,179.180463534174,14.7793436391792,25.5700644496929,21.71466,1.765916,86,86,1.256601,0.1014815
0.12,S,0.12,0.02214754,0,0.4724631,0,419.9709,63.40705,0.04443346,0,86.78565,101.6257,2.881569,180.997332614035,180.385993203217,14.863642537572,27.1929835404956,23.51852,1.914552,86,86,1.482767,0.1198838
0.13,S,0.13,0.02355326,0,0.4713344,0,422.1795,63.37983,0.05013238,0,86.76945,101.6257,2.884714,182.20705136354,181.592857312575,14.9480346417336,28.849180990716,25.33445,2.064032,86,86,1.727032,0.1397768
0.14,S,0.14,0.02498779,0,0.4700264,0,422.8986,63.35246,0.05626801,0,86.75326,101.6257,2.887858,182.661695801592,182.046428574679,14.9797515439244,30.528460421025,27.15491,2.21383,86,86,1.989479,0.1611661
0.15,S,0.15,0.02644233,0,0.4685856,0,422.6247,63.32497,0.06281561,0,86.73707,101.6257,2.891003,182.612399367992,181.997248511592,14.9763125349547,32.2233176188215,28.97488,2.363593,86,86,2.270128,0.1840532
